bioguide_id,Name,first_name,middle_name,last_name,nickname,Chamber,State,District,Party,start_year,end_year,update_date,image_url
D000617,Suzan K. DelBene,Suzan,K.,DelBene,,House,Washington,1,Democratic,2012,,2025-04-28T13:04:28Z,https://www.congress.gov/img/member/d000617_200.jpg
S000510,Adam Smith,Adam,,Smith,,House,Washington,9,Democratic,1997,,2025-04-28T13:04:28Z,https://www.congress.gov/img/member/116_rp_wa_9_smith_adam_200.jpg
M001160,Gwen Moore,Gwen,,Moore,,House,Wisconsin,4,Democratic,2005,,2025-04-28T13:04:28Z,https://www.congress.gov/img/member/116_rp_wi_4_moore_gwen_200.jpg
L000560,Rick Larsen,Rick,,Larsen,,House,Washington,2,Democratic,2001,,2025-04-28T13:04:28Z,https://www.congress.gov/img/member/116_rp_wa_2_larsen_rick_200.jpg
V000138,Eugene Simon Vindman,Eugene,Simon,Vindman,,House,Virginia,7,Democratic,2025,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/6774617a0b34857ecc9091b5_200.jpg
S001230,Suhas Subramanyam,Suhas,,Subramanyam,,House,Virginia,10,Democratic,2025,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/6797be8bc75fbc6f720e476a_200.jpg
M001239,John J. McGuire,John,J.,McGuire,,House,Virginia,5,Republican,2025,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/67744ba20b34857ecc909149_200.jpg
K000403,Mike Kennedy,Mike,,Kennedy,,House,Utah,3,Republican,2025,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/67742e7c0b34857ecc9090f5_200.jpg
J000310,Julie Johnson,Julie,,Johnson,,House,Texas,32,Democratic,2025,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/67742df60b34857ecc9090e9_200.jpg
G000603,Brandon Gill,Brandon,,Gill,,House,Texas,26,Republican,2025,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/677428ac0b34857ecc9090b3_200.jpg
M001228,Celeste Maloy,Celeste,,Maloy,,House,Utah,2,Republican,2023,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/m001228_200.jpg
M001227,Jennifer L. McClellan,Jennifer,L.,McClellan,,House,Virginia,4,Democratic,2023,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/m001227_200.jpg
K000399,Jennifer A. Kiggans,Jennifer,A.,Kiggans,,House,Virginia,2,Republican,2023,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/66b0ce45b0288a917d98f619_200.jpg
H001095,Wesley Hunt,Wesley,,Hunt,,House,Texas,38,Republican,2023,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/h001095_200.jpg
C001130,Jasmine Crockett,Jasmine,,Crockett,,House,Texas,30,Democratic,2023,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/c001130_200.jpg
C001131,Greg Casar,Greg,,Casar,,House,Texas,35,Democratic,2023,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/c001131_200.jpg
V000134,Beth Van Duyne,Beth,,Van Duyne,,House,Texas,24,Republican,2021,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/677461060b34857ecc9091af_200.jpg
O000086,Burgess Owens,Burgess,,Owens,,House,Utah,4,Republican,2021,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/o000086_200.jpg
N000026,Troy E. Nehls,Troy,E.,Nehls,,House,Texas,22,Republican,2021,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/n000026_200.jpg
M001213,Blake D. Moore,Blake,D.,Moore,,House,Utah,1,Republican,2021,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/m001213_200.jpg
G000594,Tony Gonzales,Tony,,Gonzales,,House,Texas,23,Republican,2021,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/g000594_200.jpg
C001118,Ben Cline,Ben,,Cline,,House,Virginia,6,Republican,2019,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/c001118_200.jpg
G000587,Sylvia R. Garcia,Sylvia,R.,Garcia,,House,Texas,29,Democratic,2019,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/g000587_200.jpg
R000614,Chip Roy,Chip,,Roy,,House,Texas,21,Republican,2019,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/r000614_200.jpg
C001115,Michael Cloud,Michael,,Cloud,,House,Texas,27,Republican,2018,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/115_rp_tx_27_cloud_michael_200.jpg
G000581,Vicente Gonzalez,Vicente,,Gonzalez,,House,Texas,34,Democratic,2017,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/115_rp_tx_15_gonzalez_vicente_200.jpg
B001292,Donald S. Beyer,Donald,S.,Beyer,,House,Virginia,8,Democratic,2015,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/b001292_200.jpg
B001291,Brian Babin,Brian,,Babin,,House,Texas,36,Republican,2015,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/b001291_200.jpg
V000131,Marc A. Veasey,Marc,A.,Veasey,,House,Texas,33,Democratic,2013,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/v000131_200.jpg
W000816,Roger Williams,Roger,,Williams,,House,Texas,25,Republican,2013,,2025-04-28T13:04:27Z,https://www.congress.gov/img/member/w000816_200.jpg
